Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Variant Weight Unit,Status,Image Src,Image Position,Image Alt Text,Metafield: everword.personalisation_kind [single_line_text_field],Metafield: everword.personalisation_label [single_line_text_field],Metafield: everword.personalisation_max [number_integer],Metafield: everword.message_card [boolean],Metafield: everword.occasions [single_line_text_field],Metafield: everword.elevator [single_line_text_field],Metafield: everword.tile_meta [single_line_text_field],Metafield: everword.specs [list.single_line_text_field],Metafield: everword.care [list.single_line_text_field]
courtney-heart-name,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Signature Everword Box,,,courtney-heart-name-03,60,,,continue,manual,79.00,TRUE,TRUE,g,,,,,,,,,,,,,
courtney-heart-name,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Mahogany-Style Luxe Box,,,courtney-heart-name-04,60,,,continue,manual,99.00,TRUE,TRUE,g,,,,,,,,,,,,,
isabella-birthstone-name,Name Necklace with Birthstone,"<p>A name in script with one stone for the month someone was born. Twelve colours, one for each month — the stone is the only colour on the piece.</p>",Everword,Names,"Names, birthday",TRUE,Finish,Polished Stainless Steel,Presentation,Signature Everword Box,,,isabella-birthstone--01,60,,,continue,manual,74.00,TRUE,TRUE,g,active,,,"Name Necklace with Birthstone, photographed on a clean studio ground",name,Name or word,11,true,birthday,The Birthstone Script,Polished Stainless Steel or 18K Yellow Gold Finish,"[""Polished stainless steel, or finished in 18K yellow gold"", ""Adjustable 16–18″ cable chain, 9 mm lobster clasp"", ""Cut to order — any name or word, up to 11 characters"", ""Cubic zirconia birthstone in your choice of twelve colours"", ""Made in the USA""]","[""Keep it dry. Take it off before showering, swimming or exercising."", ""Last on, first off. Let perfume, lotion and hairspray dry completely first."", ""Clean gently. A soft microfibre cloth, no dips and no ultrasonic cleaners."", ""Store it safely. Back in the Everword box when it is not being worn."", ""The gold is a finish. It is a plated layer over stainless steel, so skip abrasive polishes — they take the colour off rather than cleaning it."", ""The stones. Warm water and a soft brush behind the settings, then dry fully before it goes away. Cubic zirconia clouds with residue long before it ever scratches.""]"
isabella-birthstone-name,,,,,,,Finish,Polished Stainless Steel,Presentation,Mahogany-Style Luxe Box,,,isabella-birthstone--02,60,,,continue,manual,94.00,TRUE,TRUE,g,,,,,,,,,,,,,
isabella-birthstone-name,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Signature Everword Box,,,isabella-birthstone--03,60,,,continue,manual,84.00,TRUE,TRUE,g,,,,,,,,,,,,,
isabella-birthstone-name,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Mahogany-Style Luxe Box,,,isabella-birthstone--04,60,,,continue,manual,104.00,TRUE,TRUE,g,,,,,,,,,,,,,
elizabeth-birth-flower,Birth Flower Name Necklace,"<p>An openwork bloom for the birth month, above a name in script. Choose the month and we cut the flower that belongs to it.</p>",Everword,Names,"Names, birthday, memory",TRUE,Finish,Polished Stainless Steel,Presentation,Signature Everword Box,,,elizabeth-birth-flow-01,60,,,continue,manual,74.00,TRUE,TRUE,g,active,,,"Birth Flower Name Necklace in 18K yellow gold finish, measurements and chain length",name,Name or word,11,true,birthday memory,The Birth Flower,Polished Stainless Steel or 18K Yellow Gold Finish,"[""Polished stainless steel, or finished in 18K yellow gold"", ""Adjustable 16–18″ cable chain, 9 mm lobster clasp"", ""Cut to order — any name or word, up to 11 characters"", ""Birth flower for any of the twelve months"", ""Made in the USA""]","[""Keep it dry. Take it off before showering, swimming or exercising."", ""Last on, first off. Let perfume, lotion and hairspray dry completely first."", ""Clean gently. A soft microfibre cloth, no dips and no ultrasonic cleaners."", ""Store it safely. Back in the Everword box when it is not being worn."", ""The gold is a finish. It is a plated layer over stainless steel, so skip abrasive polishes — they take the colour off rather than cleaning it."", ""The stones. Warm water and a soft brush behind the settings, then dry fully before it goes away. Cubic zirconia clouds with residue long before it ever scratches.""]"
elizabeth-birth-flower,,,,,,,Finish,Polished Stainless Steel,Presentation,Mahogany-Style Luxe Box,,,elizabeth-birth-flow-02,60,,,continue,manual,94.00,TRUE,TRUE,g,,,,,,,,,,,,,
elizabeth-birth-flower,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Signature Everword Box,,,elizabeth-birth-flow-03,60,,,continue,manual,84.00,TRUE,TRUE,g,,,,,,,,,,,,,
elizabeth-birth-flower,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Mahogany-Style Luxe Box,,,elizabeth-birth-flow-04,60,,,continue,manual,104.00,TRUE,TRUE,g,,,,,,,,,,,,,
signature-style-name,Signature Name Necklace,"<p>A name or a word in a fine signature hand, cut in one continuous stroke. It reads like handwriting; it is a typeface, cut cleanly, every time.</p>",Everword,Names,"Names, everyday, memory, milestone",TRUE,Finish,Polished Stainless Steel,Presentation,Signature Everword Box,,,signature-style-name-01,60,,,continue,manual,69.00,TRUE,TRUE,g,active,,,"Signature Name Necklace, photographed on a clean studio ground",name,Name or word,11,true,memory milestone everyday,The Signature,Polished Stainless Steel or 18K Yellow Gold Finish,"[""Polished stainless steel, or finished in 18K yellow gold"", ""Adjustable 16–18″ cable chain, 9 mm lobster clasp"", ""Cut to order — any name or word, up to 11 characters"", ""Made in the USA""]","[""Keep it dry. Take it off before showering, swimming or exercising."", ""Last on, first off. Let perfume, lotion and hairspray dry completely first."", ""Clean gently. A soft microfibre cloth, no dips and no ultrasonic cleaners."", ""Store it safely. Back in the Everword box when it is not being worn."", ""The gold is a finish. It is a plated layer over stainless steel, so skip abrasive polishes — they take the colour off rather than cleaning it.""]"
signature-style-name,,,,,,,Finish,Polished Stainless Steel,Presentation,Mahogany-Style Luxe Box,,,signature-style-name-02,60,,,continue,manual,89.00,TRUE,TRUE,g,,,,,,,,,,,,,
signature-style-name,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Signature Everword Box,,,signature-style-name-03,60,,,continue,manual,79.00,TRUE,TRUE,g,,,,,,,,,,,,,
signature-style-name,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Mahogany-Style Luxe Box,,,signature-style-name-04,60,,,continue,manual,99.00,TRUE,TRUE,g,,,,,,,,,,,,,
graduation-cap-name,Graduation Cap Name Necklace,<p>A name in script beneath a small graduation cap. The name goes on the necklace and the year goes on the card.</p>,Everword,Names,"Names, milestone",TRUE,Finish,Polished Stainless Steel,Presentation,Signature Everword Box,,,graduation-cap-name-01,60,,,continue,manual,69.00,TRUE,TRUE,g,active,,,"Graduation Cap Name Necklace, photographed on a clean studio ground",name,Name or word,11,true,milestone,The Graduate,Polished Stainless Steel or 18K Yellow Gold Finish,"[""Polished stainless steel, or finished in 18K yellow gold"", ""Adjustable 18–20″ cable chain, 9 mm lobster clasp"", ""Cut to order — any name or word, up to 11 characters"", ""Made in the USA""]","[""Keep it dry. Take it off before showering, swimming or exercising."", ""Last on, first off. Let perfume, lotion and hairspray dry completely first."", ""Clean gently. A soft microfibre cloth, no dips and no ultrasonic cleaners."", ""Store it safely. Back in the Everword box when it is not being worn."", ""The gold is a finish. It is a plated layer over stainless steel, so skip abrasive polishes — they take the colour off rather than cleaning it.""]"
graduation-cap-name,,,,,,,Finish,Polished Stainless Steel,Presentation,Mahogany-Style Luxe Box,,,graduation-cap-name-02,60,,,continue,manual,89.00,TRUE,TRUE,g,,,,,,,,,,,,,
graduation-cap-name,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Signature Everword Box,,,graduation-cap-name-03,60,,,continue,manual,79.00,TRUE,TRUE,g,,,,,,,,,,,,,
graduation-cap-name,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Mahogany-Style Luxe Box,,,graduation-cap-name-04,60,,,continue,manual,99.00,TRUE,TRUE,g,,,,,,,,,,,,,
paw-print-name,Paw Print Name Necklace,"<p>Cherish them forever. Their name, laser cut in gold or silver with a paw print beside it. Whether it’s a gift for a pet parent or a keepsake of your own, it’s a sweet way to keep them close every day.</p>",Everword,Names,"Names, everyday, memory, pet",TRUE,Finish,Polished Stainless Steel,Presentation,Signature Everword Box,,,paw-print-name-01,60,,,continue,manual,69.00,TRUE,TRUE,g,active,,,"Paw Print Name Necklace in stainless steel, photographed on a warm ivory ground",name,Personalize it,11,true,pet memory everyday,The Paw Print,Polished Stainless Steel or 18K Yellow Gold Finish,"[""Polished stainless steel, or finished in 18K yellow gold"", ""Adjustable 16–18″ cable chain, 9 mm lobster clasp"", ""Cut to order — any name or word, up to 11 characters"", ""Made in the USA""]","[""Keep it dry. Take it off before showering, swimming or exercising."", ""Last on, first off. Let perfume, lotion and hairspray dry completely first."", ""Clean gently. A soft microfibre cloth, no dips and no ultrasonic cleaners."", ""Store it safely. Back in the Everword box when it is not being worn."", ""The gold is a finish. It is a plated layer over stainless steel, so skip abrasive polishes — they take the colour off rather than cleaning it.""]"
paw-print-name,,,,,,,Finish,Polished Stainless Steel,Presentation,Mahogany-Style Luxe Box,,,paw-print-name-02,60,,,continue,manual,89.00,TRUE,TRUE,g,,,,,,,,,,,,,
paw-print-name,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Signature Everword Box,,,paw-print-name-03,60,,,continue,manual,79.00,TRUE,TRUE,g,,,,,,,,,,,,,
paw-print-name,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Mahogany-Style Luxe Box,,,paw-print-name-04,60,,,continue,manual,99.00,TRUE,TRUE,g,,,,,,,,,,,,,
multi-name,Multi-Name Necklace,<p>Up to four names cut in script and stacked on one chain. Two are included; add a third or a fourth for anyone who arrived later.</p>,Everword,Names,"Names, birthday, milestone",TRUE,Finish,Polished Stainless Steel,Presentation,Signature Everword Box,Names,1,multi-name-01,60,,,continue,manual,69.00,TRUE,TRUE,g,active,,,"Multi-Name Necklace, photographed on a clean studio ground",names,"Names or words, one per line",11,true,birthday milestone,The Family Script,Polished Stainless Steel or 18K Yellow Gold Finish,"[""Polished stainless steel, or finished in 18K yellow gold"", ""Adjustable 16–18″ cable chain, 9 mm lobster clasp"", ""Cut to order — any name or word, up to 11 characters"", ""Up to four names, each up to 11 characters"", ""Made in the USA""]","[""Keep it dry. Take it off before showering, swimming or exercising."", ""Last on, first off. Let perfume, lotion and hairspray dry completely first."", ""Clean gently. A soft microfibre cloth, no dips and no ultrasonic cleaners."", ""Store it safely. Back in the Everword box when it is not being worn."", ""The gold is a finish. It is a plated layer over stainless steel, so skip abrasive polishes — they take the colour off rather than cleaning it.""]"
multi-name,,,,,,,Finish,Polished Stainless Steel,Presentation,Signature Everword Box,Names,2,multi-name-02,60,,,continue,manual,69.00,TRUE,TRUE,g,,,,,,,,,,,,,
multi-name,,,,,,,Finish,Polished Stainless Steel,Presentation,Signature Everword Box,Names,3,multi-name-03,60,,,continue,manual,79.00,TRUE,TRUE,g,,,,,,,,,,,,,
multi-name,,,,,,,Finish,Polished Stainless Steel,Presentation,Signature Everword Box,Names,4,multi-name-04,60,,,continue,manual,89.00,TRUE,TRUE,g,,,,,,,,,,,,,
multi-name,,,,,,,Finish,Polished Stainless Steel,Presentation,Mahogany-Style Luxe Box,Names,1,multi-name-05,60,,,continue,manual,89.00,TRUE,TRUE,g,,,,,,,,,,,,,
multi-name,,,,,,,Finish,Polished Stainless Steel,Presentation,Mahogany-Style Luxe Box,Names,2,multi-name-06,60,,,continue,manual,89.00,TRUE,TRUE,g,,,,,,,,,,,,,
multi-name,,,,,,,Finish,Polished Stainless Steel,Presentation,Mahogany-Style Luxe Box,Names,3,multi-name-07,60,,,continue,manual,99.00,TRUE,TRUE,g,,,,,,,,,,,,,
multi-name,,,,,,,Finish,Polished Stainless Steel,Presentation,Mahogany-Style Luxe Box,Names,4,multi-name-08,60,,,continue,manual,109.00,TRUE,TRUE,g,,,,,,,,,,,,,
multi-name,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Signature Everword Box,Names,1,multi-name-09,60,,,continue,manual,79.00,TRUE,TRUE,g,,,,,,,,,,,,,
multi-name,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Signature Everword Box,Names,2,multi-name-10,60,,,continue,manual,79.00,TRUE,TRUE,g,,,,,,,,,,,,,
multi-name,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Signature Everword Box,Names,3,multi-name-11,60,,,continue,manual,89.00,TRUE,TRUE,g,,,,,,,,,,,,,
multi-name,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Signature Everword Box,Names,4,multi-name-12,60,,,continue,manual,99.00,TRUE,TRUE,g,,,,,,,,,,,,,
multi-name,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Mahogany-Style Luxe Box,Names,1,multi-name-13,60,,,continue,manual,99.00,TRUE,TRUE,g,,,,,,,,,,,,,
multi-name,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Mahogany-Style Luxe Box,Names,2,multi-name-14,60,,,continue,manual,99.00,TRUE,TRUE,g,,,,,,,,,,,,,
multi-name,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Mahogany-Style Luxe Box,Names,3,multi-name-15,60,,,continue,manual,109.00,TRUE,TRUE,g,,,,,,,,,,,,,
multi-name,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Mahogany-Style Luxe Box,Names,4,multi-name-16,60,,,continue,manual,119.00,TRUE,TRUE,g,,,,,,,,,,,,,
multiple-name,Name Charm Necklace,"<p>Two or three script charms side by side on one chain, each cut separately so they move against each other.</p>",Everword,Names,"Names, birthday, milestone",TRUE,Finish,Polished Stainless Steel,Presentation,Signature Everword Box,Names,2,multiple-name-01,60,,,continue,manual,79.00,TRUE,TRUE,g,active,,,"Name Charm Necklace, photographed on a clean studio ground",names,"Names or words, one per line",11,true,birthday milestone,The Name Charms,Polished Stainless Steel or 18K Yellow Gold Finish,"[""Polished stainless steel, or finished in 18K yellow gold"", ""Adjustable 16–24″ cable chain, 9 mm lobster clasp"", ""Cut to order — any name or word, up to 11 characters"", ""Two or three names, each up to 11 characters"", ""Made in the USA""]","[""Keep it dry. Take it off before showering, swimming or exercising."", ""Last on, first off. Let perfume, lotion and hairspray dry completely first."", ""Clean gently. A soft microfibre cloth, no dips and no ultrasonic cleaners."", ""Store it safely. Back in the Everword box when it is not being worn."", ""The gold is a finish. It is a plated layer over stainless steel, so skip abrasive polishes — they take the colour off rather than cleaning it.""]"
multiple-name,,,,,,,Finish,Polished Stainless Steel,Presentation,Signature Everword Box,Names,3,multiple-name-02,60,,,continue,manual,89.00,TRUE,TRUE,g,,,,,,,,,,,,,
multiple-name,,,,,,,Finish,Polished Stainless Steel,Presentation,Mahogany-Style Luxe Box,Names,2,multiple-name-03,60,,,continue,manual,99.00,TRUE,TRUE,g,,,,,,,,,,,,,
multiple-name,,,,,,,Finish,Polished Stainless Steel,Presentation,Mahogany-Style Luxe Box,Names,3,multiple-name-04,60,,,continue,manual,109.00,TRUE,TRUE,g,,,,,,,,,,,,,
multiple-name,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Signature Everword Box,Names,2,multiple-name-05,60,,,continue,manual,89.00,TRUE,TRUE,g,,,,,,,,,,,,,
multiple-name,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Signature Everword Box,Names,3,multiple-name-06,60,,,continue,manual,99.00,TRUE,TRUE,g,,,,,,,,,,,,,
multiple-name,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Mahogany-Style Luxe Box,Names,2,multiple-name-07,60,,,continue,manual,109.00,TRUE,TRUE,g,,,,,,,,,,,,,
multiple-name,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Mahogany-Style Luxe Box,Names,3,multiple-name-08,60,,,continue,manual,119.00,TRUE,TRUE,g,,,,,,,,,,,,,
couples-bar,Engravable Four-Sided Bar Necklace,"<p>A slim four-sided bar on a snake chain, engraved down two faces. A date on one, the names on the other. It turns as it hangs, so it is read a line at a time.</p>",Everword,Engraved,"Engraved, anniversary, memory, milestone",TRUE,Finish,Polished Stainless Steel,,,,,couples-bar-01,60,,,continue,manual,79.00,TRUE,TRUE,g,active,,,"Engravable Four-Sided Bar Necklace, photographed on a clean studio ground",two_line,Two engraved lines,20,true,anniversary memory milestone,The Signature Pillar,Polished Stainless Steel or 18K Yellow Gold Finish,"[""Stainless steel, or finished in 18K yellow gold"", ""Bar 50 mm × 4.7 mm, four engravable faces"", ""Adjustable 16–22″ snake chain"", ""Made in the USA""]","[""Keep it dry. Take it off before showering, swimming or exercising."", ""Last on, first off. Let perfume, lotion and hairspray dry completely first."", ""Clean gently. A soft microfibre cloth, no dips and no ultrasonic cleaners."", ""Store it safely. Back in the Everword box when it is not being worn."", ""The gold is a finish. It is a plated layer over stainless steel, so skip abrasive polishes — they take the colour off rather than cleaning it.""]"
couples-bar,,,,,,,Finish,18K Yellow Gold Finish,,,,,couples-bar-02,60,,,continue,manual,89.00,TRUE,TRUE,g,,,,,,,,,,,,,
always-and-forever,Engraved Heart Pendant,"<p>A pavé heart, engraved on the back with whatever it needs to say — or left plain, if the card is doing the talking.</p>",Everword,Engraved,"Engraved, anniversary, romance",TRUE,Finish,Polished Stainless Steel,,,,,always-and-forever-01,60,,,continue,manual,69.00,TRUE,TRUE,g,active,,,"Engraved Heart Pendant in polished stainless steel, photographed on a warm ivory ground",engrave,Engraving (optional),20,true,romance anniversary,The Engraved Heart,Polished Stainless Steel or 18K Yellow Gold Finish,"[""Polished stainless steel, or finished in 18K yellow gold"", ""Pavé-set cubic zirconia"", ""Engraving optional, up to 20 characters"", ""Made in the USA""]","[""Keep it dry. Take it off before showering, swimming or exercising."", ""Last on, first off. Let perfume, lotion and hairspray dry completely first."", ""Clean gently. A soft microfibre cloth, no dips and no ultrasonic cleaners."", ""Store it safely. Back in the Everword box when it is not being worn."", ""The gold is a finish. It is a plated layer over stainless steel, so skip abrasive polishes — they take the colour off rather than cleaning it."", ""The stones. Warm water and a soft brush behind the settings, then dry fully before it goes away. Cubic zirconia clouds with residue long before it ever scratches.""]"
always-and-forever,,,,,,,Finish,18K Yellow Gold Finish,,,,,always-and-forever-02,60,,,continue,manual,79.00,TRUE,TRUE,g,,,,,,,,,,,,,
memorial-mom,Memorial Necklace for Mom,<p>A small engraved disc beside a single feathered wing. The name goes on the disc; everything else goes on the card.</p>,Everword,In Memory,"In Memory, memory",TRUE,Finish,Polished Stainless Steel,Presentation,Signature Everword Box,,,memorial-mom-01,60,,,continue,manual,69.00,TRUE,TRUE,g,active,,,"Memorial Necklace for Mom in polished stainless steel, photographed on a warm ivory ground",name,Name on the disc,11,true,memory,In Memory — Mom,Polished Stainless Steel or 18K Yellow Gold Finish,"[""Polished stainless steel, or finished in 18K yellow gold"", ""Cubic zirconia accent"", ""Adjustable 16–18″ cable chain, 9 mm lobster clasp"", ""Engraved to order — up to 11 characters"", ""Made in the USA""]","[""Keep it dry. Take it off before showering, swimming or exercising."", ""Last on, first off. Let perfume, lotion and hairspray dry completely first."", ""Clean gently. A soft microfibre cloth, no dips and no ultrasonic cleaners."", ""Store it safely. Back in the Everword box when it is not being worn."", ""The gold is a finish. It is a plated layer over stainless steel, so skip abrasive polishes — they take the colour off rather than cleaning it.""]"
memorial-mom,,,,,,,Finish,Polished Stainless Steel,Presentation,Mahogany-Style Luxe Box,,,memorial-mom-02,60,,,continue,manual,89.00,TRUE,TRUE,g,,,,,,,,,,,,,
memorial-mom,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Signature Everword Box,,,memorial-mom-03,60,,,continue,manual,79.00,TRUE,TRUE,g,,,,,,,,,,,,,
memorial-mom,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Mahogany-Style Luxe Box,,,memorial-mom-04,60,,,continue,manual,99.00,TRUE,TRUE,g,,,,,,,,,,,,,
memorial-dad,Memorial Necklace for Dad,"<p>The same disc and wing, engraved for a father. Quiet enough to wear every day, which is usually the point.</p>",Everword,In Memory,"In Memory, memory",TRUE,Finish,Polished Stainless Steel,Presentation,Signature Everword Box,,,memorial-dad-01,60,,,continue,manual,69.00,TRUE,TRUE,g,active,,,"Memorial Necklace for Dad in polished stainless steel, photographed on a warm ivory ground",name,Name on the disc,11,true,memory,In Memory — Dad,Polished Stainless Steel or 18K Yellow Gold Finish,"[""Polished stainless steel, or finished in 18K yellow gold"", ""Cubic zirconia accent"", ""Adjustable 16–18″ cable chain, 9 mm lobster clasp"", ""Engraved to order — up to 11 characters"", ""Made in the USA""]","[""Keep it dry. Take it off before showering, swimming or exercising."", ""Last on, first off. Let perfume, lotion and hairspray dry completely first."", ""Clean gently. A soft microfibre cloth, no dips and no ultrasonic cleaners."", ""Store it safely. Back in the Everword box when it is not being worn."", ""The gold is a finish. It is a plated layer over stainless steel, so skip abrasive polishes — they take the colour off rather than cleaning it.""]"
memorial-dad,,,,,,,Finish,Polished Stainless Steel,Presentation,Mahogany-Style Luxe Box,,,memorial-dad-02,60,,,continue,manual,89.00,TRUE,TRUE,g,,,,,,,,,,,,,
memorial-dad,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Signature Everword Box,,,memorial-dad-03,60,,,continue,manual,79.00,TRUE,TRUE,g,,,,,,,,,,,,,
memorial-dad,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Mahogany-Style Luxe Box,,,memorial-dad-04,60,,,continue,manual,99.00,TRUE,TRUE,g,,,,,,,,,,,,,
love-knot-rose-box,Love Knot Necklace,<p>A brilliant reminder of the bonds that hold us together. Four bands crossing into a single knot around one round stone.</p>,Everword,Pendants,"Pendants, anniversary, romance",TRUE,Finish,14K White Gold Finish,Presentation,Signature Everword Box,,,love-knot-rose-box-01,60,,,continue,manual,79.00,TRUE,TRUE,g,active,,,"Love Knot Necklace, photographed on a clean studio ground",none,,,true,romance anniversary,The Love Knot,14K White Gold Finish or 18K Yellow Gold Finish,"[""Finish: 14K white gold or 18K yellow gold over durable stainless steel"", ""Centre stone: 6 mm round-cut cubic zirconia in a pavé-set knot"", ""Pendant 0.6″ (15.7 mm) high × 0.23″ (6 mm) wide"", ""Adjustable 18–22″ (45.7–55.9 cm) chain with a lobster clasp"", ""Made in the USA""]","[""Keep it dry. Take it off before showering, swimming or exercising."", ""Last on, first off. Let perfume, lotion and hairspray dry completely first."", ""Clean gently. A soft microfibre cloth, no dips and no ultrasonic cleaners."", ""Store it safely. Back in the Everword box when it is not being worn."", ""The gold is a finish. It is a plated layer over stainless steel, so skip abrasive polishes — they take the colour off rather than cleaning it."", ""The stones. Warm water and a soft brush behind the settings, then dry fully before it goes away. Cubic zirconia clouds with residue long before it ever scratches.""]"
